fluidify	积满液体
demonstrationist	参加示威者
unmeaningful	不重要
busily	忙碌
cement	巩固
export	输出
officialis	首席法官
hesitant	犹豫的
dilettante	业余艺术爱好者
hydrodynamics	水动力学
praties	洋山芋
heads	正面朝上
alu	Unit
units	单位
fluid	不固定
abac	算图
unreconstructed	脑筋转不过来的
incorporeal	灵魂
failing	失败
subdural	硬膜下的
alumina	氧化铝
cryptical	含义模糊的
reapparel	再穿衣
whimling	懦弱的人
hyp	使忧郁
silverpoint	银尖笔画法
borescope	管道镜
broadcast	播送
positivism	实证论
homopterous	同翅类
sweeping	广泛的
inarticulately	口齿不清地
cheralite	磷钙钍矿
mamillated	有乳头状突出物
ungainly	不雅
phanerogamous	开花
telnet	远程登录
martlet	圣马丁鸟
treadwheel	令人厌倦的工作
hexapartite	分六部分的
depressible	可抑压的
adrenocorticotro	促肾上腺9kR:tIkEJ`trCfInkR:tIkEJ`trCpIk/9kR:
sioux	苏语
metaphyte	多细胞植物
modeless	非模态
bombycid	蛾的一种
domain	领地
leaden	铅制
pat	人为
arithmetical	算术
metallotherapy	金属疗法
strongyloidiasis	类圆线虫病
notional	实义的
shaef	Allied
finale	结局
whetter	增强物
prosaically	平凡地
fibrosis	纤维症
beseech	哀求
unmeaning	呆板的
mariolatrous	崇拜圣母马利亚
sugarbush	糖枫丛林
carrucate	=carucate
mlw	平均低水位
tragical	悲剧性的
lockable	可封闭的
acquired	后天通过自己的努力得到
abuzz	嗡嗡的
rejuvenate	复原
singular	持异议
breezy	通风好的
triable	可判定
flocculent	羊毛状
chancriform	下疳似的
swaybacked	背凹了的
unremitted	未赦免
doltish	愚蠢的
illustrational	举例说明
nonpositive	非正的
reflectible	能反照的
photoautotroph	生物
horrific	可怕
uncdf	Nations
chub	白鲑
septangular	七角的
lightless	暗的
admire	羡慕
tintinnabulary	丁当响的
enthronement	即位
dissipated	闲游浪荡
inescapable	逃不掉的
rentable	可出租的
polonaise	波洛涅兹舞
forwarder	代运人
catarrh	卡他
cernet	Education
pension	退休金
sellout	出卖
unpretending	不骄傲
inrush	涌入
resuscitable	能恢复的
povera	概念派
drupe	核果
herbary	菜园
lamish	有点跛的
parch	烤干
ring	环状
shirtdress	衬衣式连衣裙
diaeresis	分音符号
doorward	向着房门
metrological	度量衡学
sextus	第六个的
dubitatively	怀疑
afflicting	痛苦
furmety	牛奶麦粥
epiphytotic	植物流行病
navigate	航海
noontime	中午的
inhospitality	冷漠
qualify	限定
tottery	摇摇欲倒
impish	似顽童的
recognition	公认
decussate	交叉着
linseed	亚麻子
thinnish	较细
pmla	of
undercapitalize	投资不足
hdl	density
sanitarily	在卫生方面
pathfinder	开创者
hyperpituitary	垂体机能亢进
stealing	偷窃
loot	劫掠
jarring	不和谐的
honcho	老板
heresimach	与异教
arthrotropic	向关节的
watering	洒水
whydah	寡妇鸟
total	总数达
brix	白利糖度的
lothsome	=loathsome
aiche	Chemical
revolvably	能被旋转
antiphony	唱和
surveillant	监督者
striped	有斑纹
sick	使狗去咬
finish	停止
impeachable	可控告的
meeken	变温顺
antimonic	锑
philhellenism	亲希腊
prefigurative	预示的
culpably	可恶
vocative	呼唤
seclusive	喜隐居
dene	沙地
plateresque	带复杂花叶形装饰
archer	射手
fallen	伐倒的
nonfinite	非限定
tea	茶叶
righty	右派
lucubrate	深入研究
benedictive	赐福
whet	磨
crannied	裂缝多的
cleat	夹板
featureless	无特色的
ctenophora	栉水母类
semibarbarian	半野蛮
choosey	好挑剔的
anthropomorphosis	Es/
usurious	高利贷
raddle	红赭石
sound	可靠
chromophoric	发色团
friar	行乞修道士
undercut	从下边削球
dilettantism	业余的艺术爱好
escarpment	悬崖
disadvantaged	处于不利地位
rewinder	复绕机
chopsocky	功夫片
disculpation	开脱……的罪责
standing	常设
kigali	基加利
wand	杖
entrench	以壕沟防护
reductor	减速器
freely	自由地
curtana	无尖刀
remedial	治疗的
barbola	剪贴画
homing	自导引的
autolithograph	用直接平版印私版印刷法的
damnable	可诅咒的
bobtail	截短的尾巴
roper	制绳者
yucatec	尤卡坦语
eschew	远避
overshade	=overshadow
bromoform	溴仿
matchbyte	匹配字节数
dirtily	下贱
blissful	有福
scenical	景色
consummate	完美
extern	外的
rumply	压绉的
theophobia	对上帝的恐惧
soundex	探测法
glossarial	词汇
kruller	油煎饼的一种
seity	个性
malarious	瘴气
pharmaceutics	配药学
likely	合适
troubadour	行吟诗人
unordinary	特别的
quakeress	贵格会教派女信徒
filigreed	饰有金银丝细工的
furthermost	最远
goober	花生
alimony	赡养费
choriamb	扬抑抑扬格
opalesce	发出乳白色光
angulation	使成角
arrenotokous	雄性生殖的
tacitus	塔西佗
syllepsis	兼用法
florid	炫耀的
oodbs	面向对象数据库系统
contralto	n女低音
obverse	正面
mitral	礼冠
eugenic	优生
transalpine	山北居民
gigaton	十亿吨
watchtower	了望塔
economic	经济学的
karaganda	卡拉干达
woodhouse	柴棚
niff	有恶臭
androphagous	吃人的
cancellation	取消
edd	Dialect
succose	多液的
sneesh	鼻烟
downtrodden	被蹂躏
memorization	记住
botchy	难看
triclinic	三斜晶系
best	最好的东西
engrain	根深蒂固的
redefect	再度背叛
textual	本文
duplicate	两重
snakeless	无蛇的
disharmony	不调和
comp	比较两个或多个文件
pliably	圆滑地
gnosis	灵知
nottinghamshire	诺丁汉郡
official	公务
transfect	使感染病毒核酸
isoantibody	同种抗体
honies	honey的复数
walty	易横倾的
precalculus	学习微积分前必修的
deuteranopic	绿色盲
swathe	绑
isosmotic	等渗压的
sponge	诈取某人钱财
hemiglobin	高铁血红蛋白
shiftless	想不出办法
secessionism	脱离论
toxoid	类毒素
rasp	擦菜板
anodic	阳极
heterotaxis	地层变位
dipsas	致渴蛇
cymoscope	检波器
bacchic	狂欢狂饮的
alsoran	落选的马
folklore	民间传说
cnaa	Academic
samos	萨摩斯岛
expensively	高价地
guts	贪婪地吃
transmutable	可变形的
prosocial	亲社会的
chaperone	女伴
fantastically	捕风捉影
aseasonal	无季节性
funereal	悲哀
godlet	=godling
hominine	人亚科
antibusing	反对用校车接送跨区学童
soupfin	=soupfin
ballerine	芭蕾舞女
lensed	有透镜
breastwork	赶工做成的防壁
heeled	有后跟
haemic	血的
tutelary	守护圣徒
sotted	醉得稀里胡涂的
vicissitude	变迁兴衰
undismayed	不泄气
slovenry	马虎
sbc	Micyoco
hypocotyl	胚轴
nettlegrasper	迎着艰险上的人
ferocious	残忍
nannyish	过分拘谨
cgh	Good
moneybag	钱袋
poleax	战斧
triceratops	三角恐龙
devoted	投入的
plantation	耕地
hydroxid	氢氧化物
pyrogenation	热解
fame	使闻名
remorselessly	无悔意地
doomsten	凶事预告者
atrociously	残酷
illiquid	非现金
trijugate	具三对小叶的
collagen	胶原质
photopigment	光色素
bontbok	南非白纹大羚羊
nodus	节
dissectional	仔细分析的
ordinal	顺序的
fast	快速
isoseismal	等震线
ascolichen	子囊衣
unbrotherly	不友爱
aau	业余体育联合会
underpitch	vault
guanase	鸟嘌呤酶
camp	阵营
rvsvp	p
fslic	and
reread	再读
acting	代理
petite	小的
datamation	资料处理设备产销公司
skillfully	巧妙
pernoctate	守夜
micrometer	测微计
failure	失败
coronetted	贵族
purgatorial	涤罪
heterogametic	异形配子的
unclouded	晴朗的
foregone	先前
cognise	=cognize
uh	upper
unlucky	不幸的；不吉的
seventeeth	第十七
mercuric	含水银
spaggers	意大利式细面条
scalar	标量
leeway	风压角
acoustical	声学
continual	频繁
canalicular	微管
tinhorn	华而不实的
pearlescent	光芒四射
nanoid	矮小的
simpleminded	头脑简单的
perlustrate	彻底检查
lamentableners	可怜
tsunami	海啸
nummulated	钱串状的
adi	daily
delinquent	违法的
answer	反响
indemnification	保护
jib	起重机的臂
unbrotherly	不亲切
hyperextension	过伸
violaceous	紫罗兰色的
peewit	田凫
parallelism	类似
failingly	似将消失
stearin	硬脂
beatification	受福
equally	公平
dilatorily	迟缓地
sunlike	太阳似
ultraliberal	极端自由主义
klick	公里
interscholastic	校际的
parsimonious	吝啬
tuan	老爷
square	公平的
infallibly	绝对无误
circuit	周游
gorge	峡谷
chloromycetin	氯霉素
sufferable	可容忍的
fecundity	结实性
murmur	发怨言
stouthearted	大胆的
anoscope	肛镜
indigoid	靛蓝类的
airdrome	飞机场
bloodily	残忍地
cleavage	分裂
antidraft	反征兵
kickup	吵闹
telephone	电话机
bolt	囫囵吞下
human	有同情心的
hairologist	头发保养专家
unpunished	未受惩罚
arrant	极恶的
pivot	重点
mirthquake	令人捧腹大笑的表演
uncalculated	未经事先考虑的
chengtu	成都
phanariot	法纳尔人
atman	灵魂
acerbic	尖刻的
zoologize	对某一动物作动物学上的研究
trilobate	具三裂片的
undistinguished	普通的
ratiocination	推理
clou	最引人处
guestchamber	来宾室
ample	充足
bulkiness	庞大
indigen	当地的动物或植物
protect	保护/解除
halm	茎
columbine	鸽似
homogenization	同质化
milord	英国绅士
wash	洗涤剂
antielectron	正电子
wwf	Wildlife
enepidermic	对皮肤用药的
molluskan	=molluscan
intacta	未经触动的
columbian	美国
grace	优雅
bovine	迟钝
stall	出售摊
ensue	追求
orthodox	传统
emarcid	枯萎
paynim	非基督徒
quirky	离奇
tripartite	分成三部分
slimsy	不结实
countrywoman	农妇
altometer	高度测量器
expedition	迅速
erumpent	裂出的
psi	字
mollescent	变软
enlighten	启蒙
reassert	再断言
annexation	合并
calx	生石灰
aggregately	合计
life	传记
bedpan	便盆
distraction	分心
middleweight	平均体重
indeterminable	不能决定的
hypoglycemic	低血糖症的
advertence	注意
redeye	铜头蛇
undisguised	公开
hemingwayesque	海明威作品特色
jurimetrician	法律统计学家
harsh	刺耳的
brachypterous	短翅的
gentlest	温和的
reuptake	再吸收
luik	=Liege
unphilosophical	缺乏哲理
adumbrate	画轮廓
treasonable	叛国的
fuddle	使烂醉
rear	后面的
cadenza	装饰乐段
smuttiness	猥亵
puntil	顶底杆
hackmanite	紫方钠石
xenoantibody	异种抗体
inundate	淹没
hidrosis	出汗过多
significant	重要
triclinic	三斜的
brawling	喧嚷
overgorge	吃得过多
kofu	甲府
cytolysin	溶细胞素
fewtrils	琐碎东西
unpruned	未修剪的
tvp	vegetable
isolato	被遗弃者
capriciously	善变
gassing	毒气攻击
primely	极好
supernal	高
gaskin	后小腿
thermomechanical	热机的
audio	声频
shag	使蓬松
slavic	斯拉夫人的
balsamic	香膏质
neostigmine	新斯的明
orchestration	管弦乐编曲
villainous	恶毒
ampliative	扩展
maternalize	使成为母亲
nocuous	有害
unbury	从坟墓中挖出
porbeagle	鼠鲨
wattless	无功
interlinear	隔一行书写原文和译文的
lyrical	热情
sourly	酸酸地
finfooted	蹼足
toadstool	毒菌
gabbroid	似辉长岩
dnepropetrovsk	第聂伯罗彼得罗夫斯克
campaign	活动
antiperiodic	抗周期性病
odt	Office
kneecapping	用枪击穿膝盖骨
ted	翻晒
clownish	滑稽
operational	操作
he	男
interpolator	撺改者
lex	罗马私法
tungstite	钨华
tripey	无价值
embarrassingly	使人为难地
saxicolous	岩栖的
ecclesia	教会
fantasise	=fantasize
time	记时
galoisian	伽罗瓦的
neurospora	脉孢菌
reginal	女王
crawl	缓慢的行进
portulan	chart航海指南
inflator	打气筒
mopoke	笨人
prolate	扁长的
succose	多液
tussal	咳嗽表现
washland	泛滥地
skiamachy	=sciamachy
censoriously	吹求疵地
fair	公平地
inkwriter	印字机
marketable	适于销售的
stagecraft	上演术
matronage	主妇们
sorehead	发怒的人
kitling	如小猫
violet	维奥莱特
hypnotically	催眠地
marathonian	马拉松平原
gingerly	极为小心地
promiscuously	杂乱地
technically	工艺上
persiennes	百叶窗
superradiant	超发光
nisi	非最后
jet	黑玉色
radialized	辐射状
endomysium	肌内膜
ligeance	封地
rigmarole	胡言乱语
biedermeier	保守的
indigestibility	难理解
vbscript	描述语言
diligently	坚持不懈
tough	艰苦
choker	使人窒息之物
infuriation	激怒
colourplate	套色彩印图片
lithographic	平版印刷
sullen	沉沉不乐的
merohedral	缺面的
faulted	有缺点的
thwack	拍地一声打
tuum	你
uneventful	无重大事件
devolution	委付
theca	囊
iconological	肖像学
nitty	愚蠢的
collogue	畅谈
postmortem	尸体检查
muff	保温的
khansamah	男管家
livery	制服
quota	限额
hominine	有人类特征的
aujus	带原汁的
skywards	向天空
expo	博览会
seaside	海边
willing	心甘情愿
confusion	混淆
petala	的复数
czechish	捷克斯拉夫
ultrarapid	超速
tony	高贵的
inappositely	不贴切
dragonish	凶暴
liberative	同意释放的
perceptual	有知觉
barite	重晶石
unequivocable	明确
irretraceable	不能再找到的
busheler	修补衣服的人
dcm	Conduct
ferdelance	一种大毒蛇
nondisorimination	不歧视
monopolylogue	单人多角戏
usom	United
basined	为盆地所围绕的
aldol	丁间醇醛
footling	无价值
rac	英国皇家飞行俱乐部
townish	城镇特有
claxon	=klaxon
hysterectomize	切除子宫
squalor	肮脏
gular	外咽的
galenic	古希腊名医伽林
exorbitant	过度的
alba	Alva的称号
unshrinking	不收缩
reparative	弥补的
uncreate	使不存在
ungainly	难看的
pupal	蛹
respirate	对……进行人工呼吸
endocytic	内吞作用的
cerebric	脑的
ruling	流行
adjudicator	裁定者
w	三柱门
blindfold	将……眼睛蒙起来
sweeping	规模大的
impregnant	浸渍剂
bridle	马勒
sociocentrism	群体中心论
coordinator	同等的人或物
joltheaded	笨头的
gooseberry	醋栗树
subsection	分段
preference	偏爱
buckshee	免费
sizable	相当大
sandbar	沙洲
wrongfully	不妥
design	图案
libyan	利比亚的
europocentric	欧洲中心论的
rarer	更稀罕
acarpelous	无心皮的
deliberation	熟思
xanthippe	泼妇
complacent	自满
kidlet	小山羊
barnstormer	乡区演说家
paramo	高山稀疏草
howbeit	仍然
rattlebladder	嘎嘎泡泡
gardenly	如花园的
nascar	National
distolingual	远中舌的
unpublicized	未经宣传
atomicity	原子数
donnybrook	大混战
hunt	打猎
abluent	洗洁剂
polyhedra	polyhedron
pessimal	最差的
gpm	加仑
somersetshire	萨默塞特郡
filamentous	如丝
unroost	把……从栖息处赶出
unscientific	无科学知识的
do	多米尼加共和国
mouthy	说大话的
slovenry	懒散
wash	虚假
weltpolitik	国际政治
wesleyanism	卫斯理宗教义
rhizopodan	似根足虫纲动物的
elimination	消除
torsional	扭转
neotene	幼态持续品种
cratered	多坑
equanimously	镇定
upbear	托起
shlump	=schlump
circlewise	环形
emotionless	没有情感的
homodont	同型齿
hade	断层倾角
rasped	易怒
truelove	纯爱
daybill	戏剧或其他娱乐节目之海报
colourable	可着色
attribute	加于
cresylic	甲酚
rondoletto	=rondino
unprimitive	发达
ocherous	赭石
quarter	地区
lucidly	透明地
pressingly	强求
albino	白化变种
start	起程
sorority	妇女联谊会
unbaptized	未受洗礼
esb	of
delinquent	违法者
coca	古柯叶
putridness	腐化
exertion	努力
shillingsworth	1先令的价值
unpenetrable	不能穿入的
asap	As
rivel	皱纹
digenetic	世代交替的
registration	报到
laryngitis	喉炎
tailstock	尾架
bluesman	演奏
theater	戏院
elysian	幸福
assimilative	同化的
nonsuch	绝品
abound	多
methanogen	产烷生物
epiglottal	会厌的
undignified	有损尊严
perfect	全然的
counterfactual	反事实
stench	恶臭
lovesick	害相思病
entail	使蒙受
domesticate	驯养
gymnosophist	秘密信仰的信奉者
ministrant	服侍者的
dharma	达摩
osteological	骨学
remoralize	重新赋予……道德含义
and	接着又
culturist	栽培者
jo	约旦
thereof	将它
nonsuch	极品
seducible	容易受人诱惑的
knocking	卡答卡答的故障声音
deracialize	使消除种族特征
saintly	圣洁
primine	外珠被
boronia	芸香料灌木
drophead	活动头
unfathomable	难解
visive	视的
ghostliness	影子似
mouthwash	洗口药
hood	车蓬
monotonous	无变化
anteporch	外门廊
laryngismus	枯声
vehemently	激烈
recolonization	再度移民
variorum	有诸家注解
philosophise	=philosophize
suspense	悬念
czarevitch	沙皇的长子
ltjg	Grade
depart	逝世的
gastrohepatic	胃与肝脏
sloughy	泥泞
reprovingly	责难
semiautobiographical	半自传性
mestizo	混血儿
submundane	地面下的
gesture	姿态
yet	然而
spearhead	先头部队
hemeralopia	昼盲症
pronunciation	读法
bonavacantia	无人继承的动产
iodophor	碘载体
encina	橡树的一种
square	正直的
editorial	社论
idioglottic	自语症的
honeyfogle	用甜言蜜语欺骗
pseudonym	假名
slack	呆滞
newscaster	新闻广播员
tycoon	将军
spiniform	脊柱形
leafstalk	叶柄
agonizing	痛苦难忍的
affront	面对
sutural	缝合线
perishingly	讨厌地
sinuate	波状的
yow	痛苦
slopehead	东方人
mda	单色显示适配卡
dhaka	达卡
pudding	布丁
romania	罗马尼亚
doomed	命定
shaviana	有关萧伯纳的文物
pensionary	受雇佣者
ultrastructure	亚显微结构
unconcerned	无忧虑的
decasyllable	十音节
antifoulant	防污物质
uw	w
binal	两倍的
isoeugenol	异丁子香酚
phototherapy	光线疗法
rare	半熟
fount	储油器
lilied	多百合花的
telanthropus	泰尔人
intuitional	直观的
heavy	重的
wvf	World
price	标明价格
aristotelean	亚里斯多德
ocean	海洋
satinet	缎纹棉毛呢
warlock	术士
plebeianize	使平民化
extort	逼取
spiritualistic	唯心论
climax	高潮
contemplative	冥想的
atmospherical	气压
initiate	发起
noisiness	吵闹
bracer	勒紧的人
corporealize	使具有形体
checked	选中的
spy	探员
itt	and
corruptibility	腐败性
unspeakable	可怕的
halftone	半音
foremost	最先
cablet	圆周
overshoot	打过头
norwards	向北方
canephore	=canephor
belabour	就……作过分的冗长的讨论或分析等
mashhad	马什哈德(即麦什德
saugh	=sallow
kampong	部落
faddish	流行的
purlieu	范围
recollected	冷静的
maquette	初步设计的模型
beiruti	贝鲁特人
singlestick	单棒比赛
ophthalmoscopy	检眼镜检查
wingspread	翼幅
cloistral	修道院
mesial	中央的
electrocapillarity	电法毛细管现象
meadowy	牧草
haymow	干草棚
frigging	可恨
judy	朱蒂
tylopod	有胼足的
reasoned	理由充分
fubsy	肥胖
walter	沃尔特
menorrhagia	月经过多
callback	复查
leewardly	脱离航路
jarring	冲突
quadricentennial	400岁
trypanocidal	杀锥虫
christian	信基督教的
callback	回叫信号
rainless	少雨的
natter	瞎扯
turbojet	涡轮喷气飞机
tangoist	跳探戈舞者
rumply	弄绉的
preaxial	上肢内恻的
fracture	破裂
nita	尼特
meristem	分裂组织
candor	坦白
gig	旋转物
subsist	生存
coign	突出之角
heliotropic	向日性
reduced	简化的
acquirement	取
showplace	名胜
aborad	对口侧
multocular	复眼
tintinnabulary	铃声的
documentary	文献片
paragraphic	短评的
caressant	爱抚的
furioso	演奏得很有力的
scepter	节杖
seat	座位
puller	划手
slim	不足取的
emplane	使乘飞机
denominative	自名词或形容词派生出来
charming	娇媚的
jackson	杰克逊
siding	铁路的侧线
architectural	建筑学的
inversely	相反地
laboratorian	=laboratorial
oyes	听
laager	临时防御营地
videoplayer	放像机
samplesort	抽样排序
twitch	急扯
burgee	燕尾旗
toothsome	可口的
insalubrity	不健康
sternutative	催打喷嚏的
dogmatise	=dogmatize
hadst	have的第二人称单数过去式
metro	伦敦地下铁道
slickness	花言巧语的
gymnastical	=gymnastic
savagely	残酷地
cryptical	神秘的
unconscious	未发觉
calloused	变硬的
pilot	驾驶
bifilar	双线
idle	无用的
firebreak	防火道
wave	致意
gastrologist	美食家
prevaricator	说话支吾的人
philobiblic	爱书的
acerous	无角的
outpour	流出
deceased	已故
ration	配给
hma	High
servient	从属
contributing	贡献
recoronation	君
arpeggione	吉他式大提琴
statistic	统计学的
frequentative	反复动词
compulsory	被强迫
redescend	重新下降
unpregnant	不合适的
veteran	经验丰富
beneficial	受益
stud	大头钉
vopo	=Volkspolizei
biologist	生物学家
livelily	活泼
periderm	周皮
nimble	敏捷的
pent	郁积的
translatology	翻译学
motorial	运动神经的
karyotheca	核膜
exodontics	拔牙学
liveborn	活胎产的
autogenetic	无生源说
worthy	知名人士
mesenteron	中肠
rantankerous	不怀好意的
insectival	似昆虫
astrography	天文定位器
paramoecium	=paramecium
cadential	节奏
frontlessness	没有正面
charleston	查尔斯顿
narrow	精密的
god	偶像
antheral	花药
respect	敬意
fauna	动物群
tenacious	顽强
farthest	最大限度地
quatorzain	不规则十四行诗
hake	鳕鱼类
rowdydowdy	吵闹
diverse	不同的
caul	胎膜
accroach	非法占有
amphimictic	两性融合
falchion	剑
ergastic	后含
respiration	呼吸作用
noncellulosic	非纤维素
idiophone	如三角铁
arenaceous	沙质的
urban	市内的
marquee	选取框
cassock	袈裟
torc	金属项圈
aeroview	空中俯瞰图
hazardous	危险
heibei	河北
eupatrid	世袭贵族的
fusspot	老是大惊小怪的人
distance	远离
kanuri	卡努里人
pensionary	受豢养者
lavish	浪费的
frowsy	懒散
schistous	片岩状的
unaired	潮湿
officeholder	官员
acyclic	非循环的
hance	椭圆拱脚尖最短半径的弧
cyclopedist	百科全书编辑者
woolly	羊毛的
methodist	卫理公会派教徒
flow	洋溢
shippable	可运输的
impersonalism	非人格性
iad	International
semifinished	半完成的
squeal	抱怨
cannonize	使加入圣徒之列
handbound	用手装订
ganges	恒河
boatage	小船运输
consistent	一致的
pale	无力的
sphacelous	患坏疽
herbage	草的柔软部分
exacerbate	增剧
cholinomimetic	类胆碱
basipetal	由上往下的
drawnet	=dragnet
son	耶稣基督
redoubted	可怕的
ddvp	二甲基二氯乙烯基磷酸酯
denunciatory	攻击
translatable	可译
basal	基础的
limiting	限制的
ontogenetic	个体发生
saurophagous	以蜥蜴为食
shanty	棚屋
unabridged	完整的
hemiola	黑米奥拉比例
bottom	底部
bloodmobile	巡回采血车
frisian	Friland
blameful	应受责备
confirmable	可以确定
flog	迫使
anticlimactic	突减
helvetian	瑞士人的
appropriation	拨款
assibilate	使齿音化
study	学习
irish	爱尔兰人
gruesome	令人厌恶的
gantt	甘特设计
reappraise	重新评估
ritually	依据仪式上地
namechild	用某人名字命名的孩子
kindlessly	薄情地
oxalacetic	=oxaloacetic
rheumy	稀粘液
humane	仁慈的
fervently	热心地
stale	不新鲜的
relievedly	宽慰
hexachord	六度音阶
braky	多矮树林的
lithe	柔软的
airline	定期航线
interceptive	妨碍
unashamed	厚脸无耻
finalize	把最后定下来
psyche	灵魂
rushy	多灯心草的
latten	黄铜薄片
underprize	对……评价太低
disgustful	深恶痛绝的
initiate	发动
thinkpad	IBM公司生产的笔记本电脑
ascomycete	子囊菌类的草
unsugared	未加糖的
regionally	地域性的
pantomime	哑剧
ordinal	顺序
stably	有恒心地
hindoo	印度教
muff	保温
runch	=white
dolorous	忧伤
totally	完全
reversion	复原
indiscreet	不慎重
baculine	鞭刑的
neurotrophic	向神经的
confectioner	糖果制造人
physiological	生理学上的
unpersuasive	无说服力的
meatworks	肉类包装厂
pimply	有疙瘩
execution	实行
seamark	航线标志
whisht	无声的
quadrifid	分成四部份的
feed	靠……为生
spiriferous	有螺壳
thistly	象蓟
brachyuran	短尾亚目甲壳动物
communism	共产主义
bmx	motocross
rantipole	喧闹
unenvied	不受人妒忌
orthopsychiatry	矫正精神医学
unparalleled	无双的
bract	苞
henotheism	神教信奉一主神而不否认他神存在
momental	惯量
lingeringly	逗留不去地
discission	分裂术
nilpotent	幂零
discrimination	辨别
luteal	黄体的
hypoacid	酸减低
rcaf	Royal
physiographer	地文学者
nondollar	非美元地区
palkee	=palanquin
nausea	作呕
heartland	中心地带
gem	精华
mooneye	患月盲症的马眼
infrared	红外线的
acock	边翻卷地
shutter	安眠药
inky	给墨水弄污的
helicar	机汽车
gorilla	壮而残暴的男人
anguifauna	蛇区系
forwearied	极疲倦
cadence	调子
revalidation	从具法律效力
zany	丑角
receptible	能接受的
cbc	加拿大广播公司
electrodelic	灯光致幻
vainglorious	虚荣
punka	布屏风扇
fried	喝醉了的
farming	农事
way	路
gray	广告业的
docetic	幻影说信徒的
intelligentsia	知识阶层
burden	负担
sleepless	失眠的
included	包括的
dolce	柔声音栓
puseyite	的信仰者
fold	羊栏
earnest	定金
gilberta	吉尔伯塔
scarves	桌巾
spill	充满
orthohydrogen	正氢
wonder	奇妙
scoliid	土蜂科的
cockeyed	斜
sermonize	说教
hematogenous	造血的
cravenly	胆怯
thoughtfulness	思虑
isocracy	权力平等主义
cloddish	土块一样的
wader	涉禽类
anisomerous	不对称
sicklily	=sickly
bearish	如熊
comtism	孔德哲学
desolate	无人烟的
lentando	渐慢地
carbine	卡宾枪
ungraceful	没有风度
esplanade	平坦的空地
temple	寺
incongruously	不调和
slake	消除
independent	独立自主的
carburet	使与碳化合
retailing	零售业
latinic	拉丁国家的
enfold	拥抱
dementi	正式否认
shrunken	缩小
stop	堵塞
refloatation	离礁
unreckonable	不可计算的
doubtful	疑心
cosey	舒适的
nonfood	与食物无关
umber	焦茶色
strepitous	喧闹
uranide	铀
wins	Service
flyaway	翅状
hurriedly	慌忙
leggy	有优美的腿的
elector	有选举权的人
pastorally	田舍风光
nerviness	肌肉发达
antilogy	用语前后矛盾
frogling	小蛙
mixologist	酒吧调酒员
schistocyte	裂细细胞
firetrap	易失火的建筑物
siloxane	硅氧烷
molasse	摩砾层
disaffinity	不相同
dimetric	四角形的
interval	幕间休息
draggle	拖
freshman	新生
afeared	受惊
la	Lao
ramp	敲诈
virtuosi	古玩癖
cressy	长满水芹的
slip	滑动的
sequela	后遗症
quotidian	每日发作的
picked	精选
telepathist	心灵感应术专家
enchant	使迷惑
mission	代表团
ataraxy	心神安定
indigested	杂乱
dubious	可疑的
obtrude	强迫
secondhand	二手的
detergence	去垢性
dacquoise	蛋白酥皮奶油卷筒
completive	完成
vitascope	老式放映机
lancang	River
block	批
isolex	同词线
conjugated	共轭的
let	假设
interpupillary	瞳孔间的
tup	动力锤的头部
nevis	尼维斯岛
elfin	象小妖精
tress	卷发
idiodynamics	意念控制
medically	医学上
headland	畦头未耕的一条
tail	附于其后
jetted	用黑色大理石装饰
buttonhold	强留
sweetheart	爱人
hyposensitive	敏感度减弱
bodiless	无形
undependable	不可信赖
masseter	嚼肌
cop	管纱
hedonic	享乐的
rsj	Joist
priscian	普里西安
yonnie	石块
variorum	集注版
expect	想
suture	缝合用的线
livelily	生气勃勃
statoscope	微动气压仪
homolecithal	均卵黄
divider	间隔物
through	直通
gripe	控制
chimeric	荒诞不经
entire	完整的
loiteringly	吊儿郎当
cent	分
painless	不痛的
yiddish	犹太人
rehabilitative	使复原
pinafore	围裙
educatory	教育上
timocracy	荣誉政治
shading	底纹
vive	万岁
israelitic	古以色列的
coralberry	珊瑚莓
shoal	水浅
sullen	阴沉
yamma	亚美利加驼
laryngotracheal	喉气管
sportful	娱乐的
mend	好转
mithridatize	在……之中产生毒物而免疫
vesuvian	耐风火柴
throttle	扼杀
ficelle	淡灰褐色
spark	使有朝气
cetacean	鲸类
bismuthal	铋
intuitive	直觉的
decently	高雅
negritude	黑人文化传统的认同
rp	Philippines
lupulin	啤酒花苦味素
cutaneous	皮肤的
unbitter	非恶意的
cacotrophia	营养不良
visuosensory	视觉
share	参与
gassing	气体处理
eloise	埃勒维兹
prelatical	教长政治的
outgo	走得比……远或快
stook	稻堆
petty	卑鄙的
ordinary	平凡的
scurry	急转
intractability	难驾驭
melange	大杂烩
weatherproof	抗风化的
lunatic	疯狂的
sung	sing的过去分词
cabana	有凉台的屋子
sinful	罪孽深重的
season	季节
antiarrhythmic	抗心律失常的
nu	希腊字母第13
joyously	快乐
he	pro
lampbrush	刷形染色体
distinguished	卓著的
subdiscipline	分支
audacious	大胆
unconsummated	未完成的
enervated	衰弱
emphasize	强调
synonymy	同义字研究
lark	嬉戏
poultice	膏状药
childish	孩子气的
philhellenism	希腊独立主义
fibrogenesis	纤维发生
daylong	整天
isdn	Network
staff	供给人员
hymenopteran	膜翅目
confiscable	可没收的
tendency	趋向
discutient	消肿的
mobdom	黑社会
apathetically	无动于衷地
analogically	相似地
impayable	无法清偿的
gayer	快乐
